timeseries,n_dim,n_points,detector,window_size,hidden_layer,train_loss,test_loss
generate_ar1_time_series,5,2000,ADWIN,16,[32],0.23110913241849704,0.7246785688806664
generate_ar1_time_series,5,2000,ADWIN,16,[64],0.21672689454138935,0.6917644688351587
generate_ar1_time_series,5,2000,ADWIN,32,[16],0.2332691038553276,0.7756744123817909
generate_ar1_time_series,5,2000,ADWIN,32,[32],0.21864038630751975,0.7508855722121881
generate_ar1_time_series,5,2000,ADWIN,32,[64],0.2018949157489316,0.7142336660802259
generate_ar1_time_series,5,2000,PageHinkley,16,[16],0.23108308064312433,0.7085571244652951
generate_ar1_time_series,5,2000,PageHinkley,16,[32],0.23027938109231993,0.740285917394515
generate_ar1_time_series,5,2000,PageHinkley,16,[64],0.2145409808451305,0.6879021984207129
generate_ar1_time_series,5,2000,PageHinkley,32,[16],0.23072623588545377,0.7675144883296477
generate_ar1_time_series,5,2000,PageHinkley,32,[32],0.2185370509802952,0.7364628955301363
generate_ar1_time_series,5,2000,PageHinkley,32,[64],0.20063289067921797,0.7518023013595551
generate_ar1_time_series,5,5000,ADWIN,16,[16],0.31545492251051976,0.6153256306330537
generate_ar1_time_series,5,5000,ADWIN,16,[32],0.31569525271765364,0.6251050114194565
generate_ar1_time_series,5,5000,ADWIN,16,[64],0.30209411826524213,0.5838196403029816
generate_ar1_time_series,5,5000,ADWIN,32,[16],0.3249158615342012,0.7016927091621914
generate_ar1_time_series,5,5000,ADWIN,32,[32],0.3071995128052178,0.6530911659526029
generate_ar1_time_series,5,5000,ADWIN,32,[64],0.29619940963471947,0.6304140384058229
generate_ar1_time_series,5,5000,PageHinkley,16,[16],0.31245824762983615,0.6008937330266545
generate_ar1_time_series,5,5000,PageHinkley,16,[32],0.31346099494966195,0.6229129160012715
generate_ar1_time_series,5,5000,PageHinkley,16,[64],0.3018397653363835,0.5785068833656655
generate_ar1_time_series,5,5000,PageHinkley,32,[16],0.32668472989109326,0.71402214088521
generate_ar1_time_series,5,5000,PageHinkley,32,[32],0.30848150974656374,0.6628359415579204
generate_ar1_time_series,5,5000,PageHinkley,32,[64],0.2947167528549338,0.6352420989360505
