stream;ndim;nsamples;detector;lr_strategy;seq_len;hidden_size;mse;mae_warmup;mae
generate_trend_drift;3;20000;PageHinkley;increase_lr_only;32;[32, 32];1.4557893681152279;0.9620837476043255;0.9613837615442418
generate_trend_drift;3;20000;PageHinkley;increase_lr_only;32;[64, 64];1.3982726991585144;0.9421177353321559;0.9421369818706015
generate_trend_drift;3;20000;PageHinkley;increase_lr_only;64;[16];1.4103655686146483;0.9467855032027378;0.9468948626216205
generate_trend_drift;3;20000;PageHinkley;increase_lr_only;64;[32, 32];1.3482097504932091;0.9251494433047767;0.9252527031526537
generate_trend_drift;3;20000;PageHinkley;increase_lr_only;64;[64, 64];1.4233926674080073;0.9505137330185466;0.9503464483344676
generate_trend_drift;3;20000;PageHinkley;increase_and_decay_lr;16;[16];1.2820208217612012;0.9033449195402573;0.9031062703061434
generate_trend_drift;3;20000;PageHinkley;increase_and_decay_lr;16;[32, 32];1.3454738365064864;0.9268128350774372;0.9260787713903266
generate_trend_drift;3;20000;PageHinkley;increase_and_decay_lr;16;[64, 64];1.385336896670396;0.9404195041595075;0.9395530197633881
generate_trend_drift;3;20000;PageHinkley;increase_and_decay_lr;32;[16];1.2728339805284594;0.899899954097818;0.8996058420895842
generate_trend_drift;3;20000;PageHinkley;increase_and_decay_lr;32;[32, 32];1.2875436039656296;0.9056934690865839;0.905343315367272
generate_trend_drift;3;20000;PageHinkley;increase_and_decay_lr;32;[64, 64];1.322961312039278;0.9178709347904648;0.917636597890193
generate_trend_drift;3;20000;PageHinkley;increase_and_decay_lr;64;[16];1.3482538550028678;0.9255182625248431;0.9256696994931222
generate_trend_drift;3;20000;PageHinkley;increase_and_decay_lr;64;[32, 32];1.3356570769813414;0.9213504645578586;0.9215120601873841
generate_trend_drift;3;20000;PageHinkley;increase_and_decay_lr;64;[64, 64];1.3243706654701932;0.91800942485524;0.9179291521985925
generate_trend_drift;3;50000;ADWIN;increase_lr_only;16;[16];1.3928731846253997;0.9409655724435018;0.9409876238496135
generate_trend_drift;3;50000;ADWIN;increase_lr_only;16;[32, 32];1.3588875661410182;0.9304256936844838;0.9302176885821015
generate_trend_drift;3;50000;ADWIN;increase_lr_only;16;[64, 64];1.3786365661393443;0.9373364221635393;0.9369504919787138
generate_trend_drift;3;50000;ADWIN;increase_lr_only;32;[16];1.336436086286716;0.9221049638885676;0.9221014184431446
generate_trend_drift;3;50000;ADWIN;increase_lr_only;32;[32, 32];1.3270527393214684;0.918865840043126;0.918664268064177
generate_trend_drift;3;50000;ADWIN;increase_lr_only;32;[64, 64];1.3460535431880878;0.9250123980103766;0.9248806102274182
generate_trend_drift;3;50000;ADWIN;increase_lr_only;64;[16];1.455354512877439;0.9619346912162144;0.961911515657815
generate_trend_drift;3;50000;ADWIN;increase_lr_only;64;[32, 32];1.3093875374278425;0.9124731370215226;0.9123978473633129
generate_trend_drift;3;50000;ADWIN;increase_lr_only;64;[64, 64];1.3575679903994846;0.928237082671192;0.9283112223656312
generate_trend_drift;3;50000;ADWIN;increase_and_decay_lr;16;[16];1.2619013235275192;0.8965009539467905;0.8964635633952796
generate_trend_drift;3;50000;ADWIN;increase_and_decay_lr;16;[32, 32];1.2923753708688626;0.9072609048696478;0.9069946874016737
generate_trend_drift;3;50000;ADWIN;increase_and_decay_lr;16;[64, 64];1.3171095551818346;0.9161760409394323;0.9158992954324046
generate_trend_drift;3;50000;ADWIN;increase_and_decay_lr;32;[16];1.2283152786486509;0.8840363094819946;0.884155723257879
generate_trend_drift;3;50000;ADWIN;increase_and_decay_lr;32;[32, 32];1.2737519797445762;0.9001866493155692;0.9001639420868534
generate_trend_drift;3;50000;ADWIN;increase_and_decay_lr;32;[64, 64];1.2915428479499997;0.9063527081976123;0.9062836992329886
generate_trend_drift;3;50000;ADWIN;increase_and_decay_lr;64;[16];1.260332635820358;0.8952184349409253;0.895234345088985
generate_trend_drift;3;50000;ADWIN;increase_and_decay_lr;64;[32, 32];1.2749722166409014;0.9004612350315655;0.9006016548586163
generate_trend_drift;3;50000;ADWIN;increase_and_decay_lr;64;[64, 64];1.259318487993768;0.8944286391835075;0.8945643065955108
generate_trend_drift;3;50000;PageHinkley;increase_lr_only;16;[16];1.3659421922119714;0.9323006945737495;0.9319774712489637
