stream;ndim;nsamples;detector;lr_strategy;seq_len;hidden_size;mse;mae_warmup;mae;end_budget;max_budget
eth;1;17464;PageHinkley;increase_and_decay_lr;32;64;238549.62109336816;202.29872127363177;220.47143276331894;83.76400923107518;125.78842932338335
eth;1;17464;PageHinkley;increase_and_decay_lr;64;64;536993.1240006166;451.18844330382205;466.7091789192989;94.75527132041246;143.67625823885967
eth;1;17464;PageHinkley;increase_and_decay_lr;64;64;343270.36212501535;288.48743712254077;305.82582167000606;71.70806073448456;120.34527404901043
eth;1;17464;PageHinkley;increase_and_decay_lr;64;64;239516.66918888746;202.9913833056638;221.2397098339563;83.21046871981373;129.26723292598973
btc;1;17465;None;Baseline;16;16;3342419407.93673;54403.007095561596;54089.57362382425;100;100
btc;1;17465;None;Baseline;16;32;2681006046.3476415;49227.29814696558;48972.86660936425;100;100
btc;1;17465;None;Baseline;16;64;1661282555.5380824;39337.95507846467;39196.23707505623;100;100
btc;1;17465;None;Baseline;32;16;3346329575.0725636;54440.45158178872;54126.479210696845;100;100
btc;1;17465;None;Baseline;32;32;2680911050.253657;49233.8264167806;48979.258906532334;100;100
btc;1;17465;None;Baseline;32;64;1664215736.5805082;39374.668603509956;39232.58813430348;100;100
btc;1;17465;None;Baseline;64;16;3362956460.0691915;54580.38161532816;54264.64221951145;100;100
btc;1;17465;None;Baseline;64;32;2691424625.0233893;49336.830666038106;49081.01271916395;100;100
btc;1;17465;None;Baseline;64;64;1674473118.5085914;39499.24853498594;39355.88069550152;100;100
eth;1;17464;None;Baseline;16;16;693541.3926207065;562.5011259710708;576.6468644104983;61.569604243339846;141.9738201144676
eth;1;17464;None;Baseline;16;32;397633.38983831723;334.21798720031666;350.9305434439063;59.137224915471506;115.91077560691572
eth;1;17464;None;Baseline;16;64;273382.3670959888;228.94526234565456;246.79315308680614;76.17591014680171;125.72125244561424
eth;1;17464;None;Baseline;32;16;686320.614019191;557.6127296314495;571.8561812738259;71.46676324593386;118.44185800154078
eth;1;17464;None;Baseline;32;32;400653.37771299446;339.66129331445416;356.35491988526513;61.428541899649176;134.26364187296858
eth;1;17464;None;Baseline;32;64;274429.7133456162;231.18638466424565;249.05697967263197;56.70245181378666;121.72637050776963
eth;1;17464;None;Baseline;64;16;690809.6418358034;561.235752643066;575.4986829349913;54.26709634136125;132.4606073469723
eth;1;17464;None;Baseline;64;32;400499.403421874;336.9322679376721;353.73385632043596;43.62142311477546;114.65123260937202
eth;1;17464;None;Baseline;64;64;274827.3499793576;230.9565157103307;248.90913447939116;71.5207597731982;131.37423436994436
